instance_id,selected_instance_id,model,agent,main_present,main_patch_generated,main_patch_validated,retry_present,retry_patch_generated,retry_patch_validated,selected_role,selection_reason,selected_source_record
00b02101390b718aa0e626e808a1a944b7223c8c,pytorch_single_full_0144_cpp_00b02101390b,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
02fa5bf6d80fa4baa6bb6dd2fa6a16d88852da91,pytorch_single_full_0018_symbolic_convert_02fa5bf6d80f,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
02fd1878e3986d9ed8b24259b82f196a40463e00,pytorch_single_full_0134_rnn_02fd1878e398,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
060ee147537dc5288bbec75544f313fafe3f7beb,pytorch_single_full_0123_lowering_060ee147537d,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
092fe2f4224d94db6219cc189f56b8825012bc2e,pytorch_single_full_0098_utils_092fe2f4224d,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
0a489f924db080c13bff61b9b80cc074834d2ba6,pytorch_single_full_0160_ir_0a489f924db0,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
0cf4cc3d5ffc9ac300b88fc6caf7456b70f4ab28,pytorch_single_full_0071_split_module_0cf4cc3d5ffc,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
0ebfa3d7d29e9278d7c41c9b349bfc53268268b4,pytorch_single_full_0176_transformer_0ebfa3d7d29e,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
1258aac1c28f2e66f54ecacaf798a0e7a24206ef,pytorch_single_full_0129_builtin_1258aac1c28f,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
13ea46ab351471ec23567464d0dc070bf7107c59,pytorch_single_full_0005_partitioner_13ea46ab3514,deepseek,agentless,True,True,True,False,False,False,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
162e1003c910c5a880686250266920e873bc7af2,pytorch_single_full_0087_importer_162e1003c910,deepseek,agentless,True,False,False,True,True,True,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
19b31d899a78a6806314bcc73b88172dabf0c26e,pytorch_single_full_0011_utils_19b31d899a78,deepseek,agentless,True,False,False,True,True,True,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
1c1b28d5b6a942fafe23b2f09302d93c25226d4a,pytorch_single_full_0146_lowering_1c1b28d5b6a9,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
21a41edd4f1a87f652b9988a0765a4acc94e9cd2,pytorch_single_full_0175__meta_registrations_21a41edd4f1a,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
23b033452fb1d4b404216279bbf5b6d06d8570c3,pytorch_single_full_0130_cpp_23b033452fb1,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
2517bc4c4c386efd51d14b23f70aa49c38615356,pytorch_single_full_0004__redistribute_2517bc4c4c38,deepseek,agentless,True,False,False,True,True,True,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
26596fa56c3a8763c00d5a9cc77f6dc5c1baef1d,pytorch_single_full_0052_after_aot_26596fa56c3a,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
27164b6788cab6e6d8095012839e51c958a819d6,pytorch_single_full_0151__meta_registrations_27164b6788ca,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
2a053f7eef17b6c7376cf92fa72b9f9bf6e81559,pytorch_single_full_0012_gradcheck_2a053f7eef17,deepseek,agentless,True,True,True,False,False,False,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
2a286cbdf4adb0527d44ac00f9b69db9926997b3,pytorch_single_full_0064_module_2a286cbdf4ad,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
2da98d975731fe3ba0358820318b2f3962d9b785,pytorch_single_full_0094_tensor_2da98d975731,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
2db33054b30534165f342fc0958b48cfff6fd19b,pytorch_single_full_0066_transformer_2db33054b305,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
3027051590ed8ebf66ac3edf57b19c157050f56e,pytorch_single_full_0041_non_strict_utils_3027051590ed,deepseek,agentless,True,True,True,False,False,False,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
3067523e20ee2e4131ded406cf0fd6b05629de68,pytorch_single_full_0029_autograd_function_3067523e20ee,deepseek,agentless,True,False,False,True,True,True,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
31205d519891804727609a9294ca4d11201b392b,pytorch_single_full_0105_scheduler_31205d519891,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
32356aaee6a77e0ae424435a7e9da3d99e7a4ca5,pytorch_single_full_0040_named_optimizer_32356aaee6a7,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
35c493f2cf9b623bfdc7e6b34dc1cb39690a7919,pytorch_single_full_0095_cpp_extension_35c493f2cf9b,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
36f60a9a0b532a580cd76638760b73849f47a7dd,pytorch_single_full_0037_torch_36f60a9a0b53,deepseek,agentless,True,False,False,True,True,True,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl
371bcc1e336b464643c9a1083f7f8628607f2660,pytorch_single_full_0141_default_planner_371bcc1e336b,deepseek,agentless,True,True,False,False,False,False,main,main_selected,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl
