dataset,instance_id,commit_id,parent_sha,bug_category,model,agent,strategy,run_role,method,source_files,bug_reveal_tests,patch_path,test_status,semantic_success,semantic_confidence,semantic_reason,risk_signals,patch_files,gold_files,add_jaccard,add_seq_ratio,remove_jaccard,remove_seq_ratio,patch_changed_lines,gold_changed_lines,elapsed_seconds,total_tokens,prompt_tokens,completion_tokens,manual_review_note,manual_review_changed,bug_fix_verdict,confirmed_bug_fix_for_rate,bug_fix_evidence,final_manual_review,previous_bug_fix_verdict
single,pytorch_single_full_0003_functions_8274dadac5f1,8274dadac5f1f6266b96d45d34be0d0f11d6f092,4d9b5a87e4cc1e2ff81dce5123ee98a7c1b2d6a8,API,deepseek,swe,tool-call-known-location,main,swe_repair_only,torch/utils/_sympy/functions.py,test/test_sympy_utils.py::test_pickle,data/single_func_180/patches/pytorch_single_full_0003_functions_8274dadac5f1/deepseek__swe__main__tool-call-known-location.diff,pass,success,low,passes_tests_and_modifies_same_source_region_without_overfit_signals;patch_much_smaller_than_human_patch,,torch/utils/_sympy/functions.py,torch/utils/_sympy/functions.py,0.000,0.446,0.000,0.000,2,4,4.404,2670,1178,1492,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,Sets the generated SymPy function qualname/name so generated opaque functions serialize/identify correctly.,confirmed_from_plausible_manual_review,plausible_needs_review
single,pytorch_single_full_0003_functions_8274dadac5f1,8274dadac5f1f6266b96d45d34be0d0f11d6f092,4d9b5a87e4cc1e2ff81dce5123ee98a7c1b2d6a8,API,deepseek,aider,search-replace-known-location,main,aider_repair_only,torch/utils/_sympy/functions.py,test/test_sympy_utils.py::test_pickle,data/single_func_180/patches/pytorch_single_full_0003_functions_8274dadac5f1/deepseek__aider__main__search-replace-known-location.diff,pass,success,low,passes_tests_and_modifies_same_source_region_without_overfit_signals;patch_much_smaller_than_human_patch,,torch/utils/_sympy/functions.py,torch/utils/_sympy/functions.py,0.000,0.648,0.000,0.000,2,4,4.057,2481,1153,1328,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,Sets the generated SymPy function qualname/name so generated opaque functions serialize/identify correctly.,confirmed_from_plausible_manual_review,plausible_needs_review
single,pytorch_single_full_0014_lowering_4ee003abdfee,4ee003abdfee3eef701735d6835db0e7b9f8ec61,a288b95d4e5ceed327c5bdb9696331aa87688d60,Logic,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/_inductor/lowering.py,test/inductor/test_torchinductor.py::test_repeat_as_strided,data/single_func_180/patches/pytorch_single_full_0014_lowering_4ee003abdfee/deepseek__agentless__main__search-replace-known-location.diff,pass,success,low,passes_tests_and_modifies_same_source_region_without_overfit_signals;patch_much_smaller_than_human_patch,,torch/_inductor/lowering.py,torch/_inductor/lowering.py,0.000,0.000,0.500,0.452,2,2,16.472,3623,1132,2491,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,"Manual grouped review: patch passes the bug-revealing test, changes the target production source, and its minimal logic is sufficient for the observed bug mechanism.",confirmed_from_plausible_manual_review,plausible_needs_review
single,pytorch_single_full_0014_lowering_4ee003abdfee,4ee003abdfee3eef701735d6835db0e7b9f8ec61,a288b95d4e5ceed327c5bdb9696331aa87688d60,Logic,deepseek,autocoderover,original-patched-known-location,main,autocoderover_repair_only,torch/_inductor/lowering.py,test/inductor/test_torchinductor.py::test_repeat_as_strided,data/single_func_180/patches/pytorch_single_full_0014_lowering_4ee003abdfee/deepseek__autocoderover__main__original-patched-known-location.diff,pass,success,medium,passes_tests_and_modifies_same_source_region_without_overfit_signals,,torch/_inductor/lowering.py,torch/_inductor/lowering.py,0.000,0.000,0.500,0.452,3,2,15.64,3180,1158,2022,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,"Patch passes the bug-revealing tests, modifies the relevant production source, and has no blocking overfit signal.",kept_previous_verdict,confirmed_bug_fix
single,pytorch_single_full_0014_lowering_4ee003abdfee,4ee003abdfee3eef701735d6835db0e7b9f8ec61,a288b95d4e5ceed327c5bdb9696331aa87688d60,Logic,deepseek,swe,tool-call-known-location,main,swe_repair_only,torch/_inductor/lowering.py,test/inductor/test_torchinductor.py::test_repeat_as_strided,data/single_func_180/patches/pytorch_single_full_0014_lowering_4ee003abdfee/deepseek__swe__main__tool-call-known-location.diff,pass,success,medium,passes_tests_and_modifies_same_source_region_without_overfit_signals,,torch/_inductor/lowering.py,torch/_inductor/lowering.py,0.000,0.000,0.500,0.452,3,2,15.458,2083,1157,926,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,"Patch passes the bug-revealing tests, modifies the relevant production source, and has no blocking overfit signal.",kept_previous_verdict,confirmed_bug_fix
single,pytorch_single_full_0016__package_720a7b2887ca,720a7b2887ca4efc8d63b32373182bc97918c76e,49e7b2f69dcae0ae605c0f60b181ada695449628,Logic,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/export/pt2_archive/_package.py,test/export/test_serialize.py::test_2D_tensor_slicing;test/export/test_serialize.py::test_1D_tensor_slicing,data/single_func_180/patches/pytorch_single_full_0016__package_720a7b2887ca/deepseek__agentless__main__search-replace-known-location.diff,pass,success,high,high_similarity_to_human_patch,,torch/export/pt2_archive/_package.py,torch/export/pt2_archive/_package.py,1.000,1.000,1.000,1.000,2,2,20.277,2238,1034,1204,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,Patch passes the bug-revealing tests and is highly aligned with the human patch.,kept_previous_verdict,confirmed_bug_fix
single,pytorch_single_full_0017_post_grad_67bf5b5fd02b,67bf5b5fd02be47988f5eda3614592874047b144,460a3f6cfb5352923a7184b1dfffc911a2932a0a,Logic,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/_inductor/fx_passes/post_grad.py,test/inductor/test_torchinductor.py::test_complex_conv2d_conj,data/single_func_180/patches/pytorch_single_full_0017_post_grad_67bf5b5fd02b/deepseek__agentless__main__search-replace-known-location.diff,pass,success,low,passes_tests_and_modifies_same_source_region_without_overfit_signals;patch_much_smaller_than_human_patch,,torch/_inductor/fx_passes/post_grad.py,torch/_inductor/fx_passes/post_grad.py,0.500,0.673,1.000,1.000,1,3,25.511,2123,955,1168,Kept from automatic review; no high-risk semantic red flag requiring override.,False,not_bug_fix,False,Only checks conjugate metadata and misses the negative-bit check added by the human fix.,not_bug_fix_group_override,plausible_needs_review
single,pytorch_single_full_0019_output_graph_a6b8c30726f9,a6b8c30726f92bde576716e7b6ea6bb8e7bd4e62,1959802548fc31efa63b0a6d9e9eb28cab92f6e2,Logic,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/_dynamo/output_graph.py,test/dynamo/test_higher_order_ops.py::test_fn_with_kwargs_in_torch_ops,data/single_func_180/patches/pytorch_single_full_0019_output_graph_a6b8c30726f9/deepseek__agentless__main__search-replace-known-location.diff,pass,success,high,high_similarity_to_human_patch,,torch/_dynamo/output_graph.py,torch/_dynamo/output_graph.py,1.000,1.000,1.000,1.000,8,8,8.13,3962,2401,1561,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,Patch passes the bug-revealing tests and is highly aligned with the human patch.,kept_previous_verdict,confirmed_bug_fix
single,pytorch_single_full_0021_lowering_5f2a76ddf760,5f2a76ddf7605a1be1d608b71de49c4f650ae1e7,9d1f5a35df71327053d1f28a36b1cc7500682c22,Logic,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/_inductor/lowering.py,test/inductor/test_torchinductor.py::test_adaptive_avg_pool_with_output_size_0,data/single_func_180/patches/pytorch_single_full_0021_lowering_5f2a76ddf760/deepseek__agentless__main__search-replace-known-location.diff,pass,success,medium,passes_tests_and_modifies_same_source_region_without_overfit_signals,,torch/_inductor/lowering.py,torch/_inductor/lowering.py,0.250,0.439,1.000,1.000,3,3,15.131,3155,1345,1810,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,"Patch passes the bug-revealing tests, modifies the relevant production source, and has no blocking overfit signal.",kept_previous_verdict,confirmed_bug_fix
single,pytorch_single_full_0032_ops_fd785b176200,fd785b176200d3736aadc19dcaef00a2f470f4bb,d0086708dd2218818212853724c30145d6f8cccf,API,deepseek,agentless,search-replace-known-location,main,agentless_search_replace,torch/nested/_internal/ops.py,test/test_nestedtensor.py::test_is_all_true_jagged;test/test_nestedtensor.py::test_is_any_true_jagged,data/single_func_180/patches/pytorch_single_full_0032_ops_fd785b176200/deepseek__agentless__main__search-replace-known-location.diff,pass,success,low,passes_tests_and_modifies_same_source_region_without_overfit_signals;patch_much_smaller_than_human_patch,,torch/nested/_internal/ops.py,torch/nested/_internal/ops.py,0.000,0.343,1.000,1.000,2,13,13.614,2814,952,1862,Kept from automatic review; no high-risk semantic red flag requiring override.,False,confirmed_bug_fix,True,"Manual grouped review: patch passes the bug-revealing test, changes the target production source, and its minimal logic is sufficient for the observed bug mechanism.",confirmed_from_plausible_manual_review,plausible_needs_review
