instance_id,parent_sha,commit_id,latest_failed_at,returncode,failure_reason,canonical_complete,canonical_patch_count,validated_patches,missing_patches,build_exists_now,built_artifact_exists,fixed_or_obsolete,next_action
pytorch_single_full_0006_standalone_compile_ac715e96b49d,14293c237729a99440470206c0f791a8e76224ec,ac715e96b49de98bd9e50fa627628776ffb75bce,2026-05-29T18:09:30+0800,1,pytorch_build_failed,yes,7,7,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0010_package_exporter_5caccbe39e91,703f24397b0dad4bbde9e095925bcb63465eb27a,5caccbe39e912281bff7cd372c7376fdca56905f,2026-05-31T03:06:46+0800,1,pytorch_build_failed,yes,6,6,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0018_symbolic_convert_02fa5bf6d80f,8dab6d4c414bf997297804008c3da893e69cd51f,02fa5bf6d80fa4baa6bb6dd2fa6a16d88852da91,2026-05-26T00:41:04+0800,1,pytorch_build_failed,yes,5,5,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0020__serialization_7f4c3e7d2f39,6e5b4249a54b6e80ee8feb75414f9aef950ea0b0,7f4c3e7d2f3989115474d77936915fab6d6e0d93,2026-05-26T00:41:19+0800,1,pytorch_build_failed,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0022_library_d9d6dde0f42d,68738beff73e9c3512e18b4edea811a897ce42db,d9d6dde0f42d4bcc8c97671ac50d5096c7e500ab,2026-05-26T00:41:27+0800,1,pytorch_build_failed,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0023__weights_only_unpickler_37959c554df1,f3f305ef3e6b5ec8ed405cb74658a8bbec58bede,37959c554df15c2c437fa0a481bcbe23bc6a73cb,2026-05-28T22:00:22+0800,1,pytorch_build_failed,yes,7,7,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0024___init___6c619f0f051d,88052ace3e7272c9ea9a551cda6642e89ae3bc37,6c619f0f051db120565f7c386bc6ac04067dfecd,2026-05-26T00:41:53+0800,1,pytorch_build_failed,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0026_dataset_7c29ca7f2b49,08ce5eedf526181bccc64a3b9a3bb869bc06c38d,7c29ca7f2b49a91dbfc6ee35bf6da55616bd2960,2026-06-01T19:20:23+0800,1,pytorch_build_failed,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0029_autograd_function_3067523e20ee,e5d5453541f6cb4fc30752a5a05ea84249a3feb6,3067523e20ee2e4131ded406cf0fd6b05629de68,2026-05-26T11:30:10+0800,124,manual_timeout_or_skip,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0038__jit_internal_3f23ad5bce75,1321f2bfe6a100cb327e20a9d285bd51b650231a,3f23ad5bce75539a23e8d462b4339e75a6171095,2026-06-02T21:08:20+0800,1,pytorch_build_failed,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0055_package_exporter_5f010c066fcb,5a45103139b52917703630b4f055df056d6f6260,5f010c066fcb6964285ee4b881b1c211376ef811,2026-05-27T16:16:48+0800,1,pytorch_build_failed,yes,6,6,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0065_transforms_bf6481553ac0,cc5b01651f9d34fa05363c955aa487ffcc0e29d1,bf6481553ac03e3e6cdae11403f41a2797a738c0,2026-05-28T03:07:56+0800,1,pytorch_build_failed,yes,7,7,0,yes,no,yes,none; canonical applicable patches complete
pytorch_single_full_0067_guards_c0ed87c82d94,1069a08dac348c3ad09e96bcc344f6e5c6052cd8,c0ed87c82d9417960791c9b35ccffc302c71eca1,2026-05-28T03:07:56+0800,128,git_worktree_metadata_or_stale_dir,yes,4,4,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0069_c10d_logger_bac10cdd6f8a,0d66ccaf239c6218080f02210bb52f60f198d8a3,bac10cdd6f8ac520a461d6711cf758b69ff2d9a1,2026-05-28T03:07:57+0800,128,git_worktree_metadata_or_stale_dir,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0070_ops_f089d5ffeff5,1c77b13c065e6983a9906612764aab79b566dae0,f089d5ffeff5c39c6fe5a75ab108f3744e7f5db3,2026-05-28T03:08:33+0800,128,git_worktree_metadata_or_stale_dir,no,7,6,1,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0072_meta_utils_d0ea158a2a77,ee26d1c65d034e80b313fc3a5a9c2a08af612eb8,d0ea158a2a77ac9c9f863a23539b609e7d586e06,2026-05-28T03:08:33+0800,128,git_worktree_metadata_or_stale_dir,no,7,0,7,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0073__recursive_e5ae0e652d77,ccfdb30644b4b35a8ed8b37fc684cfe9a912039d,e5ae0e652d77828af6780507ec01d0f6e763db8d,2026-05-28T03:08:34+0800,128,git_worktree_metadata_or_stale_dir,no,8,0,8,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0074_decompositions_d746b987d823,6fa972796ecb32566032d3d4538b4abe5032b6c9,d746b987d8239595438b9dbd0f96ec6a4fed4653,2026-05-28T03:08:34+0800,128,git_worktree_metadata_or_stale_dir,no,8,0,8,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0075_utils_d924a23ce239,63db4d90852ce251dfc2b87c76453f7b6858009e,d924a23ce2395e6b4f82111bfc8d452e2550013a,2026-05-28T03:08:34+0800,128,git_worktree_metadata_or_stale_dir,no,7,0,7,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0076___init___f5851efed99d,6f9ffaa9916c02fa2aaae453db579a942b354708,f5851efed99db3f3509982dda8680c1b60882c6e,2026-05-28T03:08:35+0800,128,git_worktree_metadata_or_stale_dir,no,8,0,8,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0078_mkldnn_fusion_c06b5048ba86,6cd96f069b3c75b113d7190ba08637d4bc3cb7c9,c06b5048ba866e2dd39e5da5399fe8261322c7ca,2026-05-28T03:08:35+0800,128,git_worktree_metadata_or_stale_dir,no,4,0,4,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0079_rnn_6f0f4f12cab4,10509dac85148b46a93e8ddb54d8fcb36826411d,6f0f4f12cab41fb40f8fa527c30ec1bda7b1b61e,2026-05-28T03:08:35+0800,128,git_worktree_metadata_or_stale_dir,no,3,0,3,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0080_lowering_d6887f444fa6,2e23768d2521acec9314d07a4b418089848a0f26,d6887f444fa61b46c9c31114028484e658f3dc99,2026-05-28T03:08:36+0800,128,git_worktree_metadata_or_stale_dir,no,8,0,8,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0081_nn_module_9a00ffbfedde,5bdf093a147b21f9c8e58c20e7bdc6727d41341c,9a00ffbfedde0e91e480bbfba42949384b74ff64,2026-05-28T03:08:36+0800,128,git_worktree_metadata_or_stale_dir,no,6,0,6,no,no,no,retry with patched script: git worktree prune + retry
pytorch_single_full_0082_standalone_compile_58310a0043b9,ac715e96b49de98bd9e50fa627628776ffb75bce,58310a0043b96f4d94838305c4c7cc7880a4fe82,2026-05-28T12:35:02+0800,255,wrong_python_3.8_env,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0083_torchbind_7869196482e3,bca75fe97a2fa21a761d82c86ea2cfcb7d5296ae,7869196482e3af78735b54c921e2284c105d945d,2026-05-28T12:35:11+0800,255,wrong_python_3.8_env,no,7,6,1,no,no,no,rebuild with pytorch_dataset Python 3.11
pytorch_single_full_0084_package_importer_cf8912713729,92d8965082bf77315b0d059e37786aa98d268a44,cf8912713729072218a3dd700e8c561708b6045c,2026-05-28T12:35:21+0800,255,wrong_python_3.8_env,yes,6,6,0,yes,yes,yes,none; canonical applicable patches complete
pytorch_single_full_0086_cpp_6fcef86cfa30,ed0e63e938317fd254a705f00580caeb68768f9c,6fcef86cfa30526a1561b5fa83076d77fb21ca03,2026-05-29T08:22:05+0800,1,pytorch_build_failed,no,8,7,1,no,no,no,retry with patched build script; inspect setup.py develop log if it fails again
pytorch_single_full_0091_symbolic_shapes_b43432207591,c2a202169d7f9bd4603c8b86dce9a26b1788b619,b434322075912942451a410d1e749784c96dda4d,2026-05-28T18:50:29+0800,255,wrong_python_3.8_env,yes,7,7,0,no,no,yes,none; canonical applicable patches complete
pytorch_single_full_0092__trace_8cb6957e0190,037343657edceb345001e4c0ff226a34ca4c6063,8cb6957e019086c1f6e39941047ead6e29f6f402,2026-05-28T18:50:39+0800,255,wrong_python_3.8_env,yes,8,8,0,no,no,yes,none; canonical applicable patches complete
