instance_id,selected_instance_id,model,agent,strategy,run_role,selection_reason,source_record,main_source_records,retry_source_records,patch_generated,apply_status,patch_path,patch_hash,total_tokens,prompt_tokens,completion_tokens,elapsed_seconds,model_elapsed_seconds,finish_reason,response_chars,reasoning_chars,parent_sha,commit_id,bug_category,source_files,modified_func_names,bug_reveal_tests
00b02101390b718aa0e626e808a1a944b7223c8c,pytorch_single_full_0144_cpp_00b02101390b,deepseek,agentless,search-replace-known-location,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0144_cpp_00b02101390b/agent_runs/known-location-direct-v4-pro-searchreplace-3000/patch.diff,e8819a31bba6dea9e5770c72ee318264c1f4621e4118da509b350eeebedff45e,3805,2563,1242,49.648,47.439,stop,390,4185,d53164880f76491634f41c1641aa9384f4500875,00b02101390b718aa0e626e808a1a944b7223c8c,Numeric,torch/_inductor/codegen/cpp.py,class:CppVecOverrides,test/inductor/test_cpu_repro.py::test_asinh_with_corner_inputs
02fa5bf6d80fa4baa6bb6dd2fa6a16d88852da91,pytorch_single_full_0018_symbolic_convert_02fa5bf6d80f,deepseek,agentless,search-replace-known-location,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,False,not_attempted,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0018_symbolic_convert_02fa5bf6d80f/agent_runs/known-location-direct-v4-pro-searchreplace-6000-retry-nopatch/patch.diff,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7864,1864,6000,189.228,184.127,length,0,26199,8dab6d4c414bf997297804008c3da893e69cd51f,02fa5bf6d80fa4baa6bb6dd2fa6a16d88852da91,Logic,torch/_dynamo/symbolic_convert.py,class:InstructionTranslatorBase,test/dynamo/test_nested_graph_breaks.py::test_supported_ctx_manager
02fd1878e3986d9ed8b24259b82f196a40463e00,pytorch_single_full_0134_rnn_02fd1878e398,deepseek,agentless,search-replace-known-location,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0134_rnn_02fd1878e398/agent_runs/known-location-direct-v4-pro-searchreplace-3000/patch.diff,e9854a1c7a488005833259af8fa46a8bd4fca5f343d7f1b1f73525880016efca,3882,2478,1404,46.704,45.514,stop,881,4772,45de3ef6a7da2d2a679564284bd5dda34c4c0963,02fd1878e3986d9ed8b24259b82f196a40463e00,Type,torch/nn/modules/rnn.py,class:RNNBase,test/test_jit.py::test_nn_LSTM_with_layers
060ee147537dc5288bbec75544f313fafe3f7beb,pytorch_single_full_0123_lowering_060ee147537d,deepseek,agentless,search-replace-known-location,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,False,search_replace_failed,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0123_lowering_060ee147537d/agent_runs/known-location-direct-v4-pro-searchreplace-6000-retry-nopatch/patch.diff,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6742,1163,5579,188.013,185.869,stop,443,21667,135c7db99d646b8bd9603bf969d47d3dec5987b1,060ee147537dc5288bbec75544f313fafe3f7beb,Type,torch/_inductor/lowering.py,other:fallback_adaptive_max_pool2d = fallback_handler(,test/inductor/test_torchinductor.py::test_adaptive_pool_errors_with_long
092fe2f4224d94db6219cc189f56b8825012bc2e,pytorch_single_full_0098_utils_092fe2f4224d,deepseek,agentless,search-replace-known-location,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0098_utils_092fe2f4224d/agent_runs/known-location-direct-v4-pro-searchreplace-3000/patch.diff,4f65046fcb865291fedb13c2e07bf6111e2dd50b17e4534f1e5552ed6fa6d6ca,3637,1334,2303,80.612,77.997,stop,943,8398,b71e813bceca1e3862b0094e4d58b51a621630c6,092fe2f4224d94db6219cc189f56b8825012bc2e,Numeric,torch/_library/utils.py,class:MutationChecker,test/export/test_export.py::test_draft_export_checks_mutation;test/export/test_export.py::test_draft_export_checks_mutation_with_nan
0a489f924db080c13bff61b9b80cc074834d2ba6,pytorch_single_full_0160_ir_0a489f924db0,deepseek,agentless,search-replace-known-location,no_patch_retry_fill,no_patch_retry_fill_selected_validated_first,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0160_ir_0a489f924db0/agent_runs/known-location-direct-v4-pro-searchreplace-6000-retry-nopatch/patch.diff,235a642abb136678a7273082b374805a212dcfc1b8a47fe31ab482fbd0796070,5999,1208,4791,150.047,149.236,stop,170,18294,55595e0c85b1f5d33a7a163afa774ab12f8d3eaf,0a489f924db080c13bff61b9b80cc074834d2ba6,Logic,torch/_inductor/ir.py,class:AssertScalar,test/test_dynamic_shapes.py::test_deferred_sym_or_assert
0cf4cc3d5ffc9ac300b88fc6caf7456b70f4ab28,pytorch_single_full_0071_split_module_0cf4cc3d5ffc,deepseek,agentless,search-replace-known-location,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,False,search_replace_failed,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0071_split_module_0cf4cc3d5ffc/agent_runs/known-location-direct-v4-pro-searchreplace-6000-retry-nopatch/patch.diff,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7216,1685,5531,195.748,194.517,stop,210,24197,e3e3ab805b886f5abe238d1ebe51f4cad5475286,0cf4cc3d5ffc9ac300b88fc6caf7456b70f4ab28,Logic,torch/fx/passes/split_module.py,def:split_module,test/test_fx_experimental.py::test_split_module_return_node
0ebfa3d7d29e9278d7c41c9b349bfc53268268b4,pytorch_single_full_0176_transformer_0ebfa3d7d29e,deepseek,agentless,search-replace-known-location,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0176_transformer_0ebfa3d7d29e/agent_runs/known-location-direct-v4-pro-searchreplace-3000/patch.diff,edb6f6c8d90ba9758a86d76d9d6dd8a0cd4028fe4984fa7189cafacc62dcb7a7,4450,2410,2040,66.696,65.795,stop,758,7859,0ea10f9912a9ec7c6d606bc71e3ec91f20372212,0ebfa3d7d29e9278d7c41c9b349bfc53268268b4,API,torch/nn/modules/transformer.py,class:TransformerEncoder,test/nn/test_multihead_attention.py::test_fast_path_check_with_mask_does_not_break_in_compile
1258aac1c28f2e66f54ecacaf798a0e7a24206ef,pytorch_single_full_0129_builtin_1258aac1c28f,deepseek,agentless,search-replace-known-location,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,False,not_attempted,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0129_builtin_1258aac1c28f/agent_runs/known-location-direct-v4-pro-searchreplace-6000-retry-nopatch/patch.diff,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7592,1592,6000,202.299,200.155,length,0,25797,9fe1b40d176b627e9abd5914a32c3e708abc1532,1258aac1c28f2e66f54ecacaf798a0e7a24206ef,Type,torch/_dynamo/variables/builtin.py,class:BuiltinVariable,test/dynamo/test_functions.py::test_size_tuple_add
13ea46ab351471ec23567464d0dc070bf7107c59,pytorch_single_full_0005_partitioner_13ea46ab3514,deepseek,agentless,search-replace-known-location,main,main_selected_validated_first,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_3000_run_records.jsonl,known_location_direct_v4_pro_searchreplace_6000_retry_nopatch_run_records.jsonl,True,search_replace_applied,/home/quanlili/Desktop/lunwen/benchmark_pilot/single_func_180/instances/pytorch_single_full_0005_partitioner_13ea46ab3514/agent_runs/known-location-direct-v4-pro-searchreplace-3000/patch.diff,2b32af92efafe589a9ed88c2292f458697e0506325dffd67d9bbe125ad9f4e74,5108,2139,2969,104.036,103.057,stop,1731,12650,10ca1e95eaf390f11139ec6226e2ab0ae2ba01e3,13ea46ab351471ec23567464d0dc070bf7107c59,Logic,torch/fx/passes/infra/partitioner.py,class:CapabilityBasedPartitioner,test/test_fx_passes.py::test_partitioner_nested_getitem_chains
