dataset,instance_id,commit_id,parent_sha,bug_category,model,agent,strategy,run_role,method,source_files,modified_func_names,bug_reveal_tests,patch_path,test_status,bug_fix_verdict,confirmed_bug_fix_for_rate,review_confidence,review_reason,risk_signals,patch_files,gold_files,add_jaccard,add_seq_ratio,remove_jaccard,remove_seq_ratio,patch_changed_lines,gold_changed_lines,elapsed_seconds,total_tokens,prompt_tokens,completion_tokens,author_review_note,bug_fix_evidence
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,deepseek_agentless_no_patch_retry_fill_agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,high,blocking_risk_signal:test_skip_or_xfail_signal,many_numeric_literals|test_skip_or_xfail_signal,torch/__init__.py;torch/_refs/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.000,0.265,0.714,0.854,15,21,9.378,5331,1270,4061,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/__init__.py', 'torch/_refs/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.265; rem_seq=0.854; add_jaccard=0.000; rem_jaccard=0.714; patch_lines=15; gold_lines=21; risks=['many_numeric_literals', 'test_skip_or_xfail_signal']"
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,deepseek,autocoderover,original-patched-short-known-location-editregion,no_patch_retry_fill,deepseek_autocoderover_no_patch_retry_fill_autocoderover_acrpatch_short_v4pro_10000_retry_3000_nopatch_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/deepseek__autocoderover__no_patch_retry_fill__original-patched-short-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,high,blocking_risk_signal:test_skip_or_xfail_signal,many_numeric_literals|test_skip_or_xfail_signal,torch/__init__.py;torch/_refs/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.000,0.180,0.231,0.505,23,21,6.916,9918,1190,8728,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/__init__.py', 'torch/_refs/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.180; rem_seq=0.505; add_jaccard=0.000; rem_jaccard=0.231; patch_lines=23; gold_lines=21; risks=['many_numeric_literals', 'test_skip_or_xfail_signal']"
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,deepseek,swe,tool-call-short-known-location-editregion,main,deepseek_swe_main_swe_toolcall_short_v4pro_3000_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/deepseek__swe__main__tool-call-short-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,medium,too_small_and_low_gold_similarity,,torch/_refs/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.067,0.028,0.000,0.000,2,21,6.917,3898,1061,2837,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_refs/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.028; rem_seq=0.000; add_jaccard=0.067; rem_jaccard=0.000; patch_lines=2; gold_lines=21; risks=[]"
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,gpt,agentless,search-replace-known-location-editregion,main,gpt_agentless_main_agentless_openai_gpt4o_searchreplace_10000_first10_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/gpt__agentless__main__search-replace-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,many_numeric_literals,torch/__init__.py;torch/_refs/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.125,0.289,0.286,0.506,7,21,6.343,1334,1211,123,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/__init__.py', 'torch/_refs/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.289; rem_seq=0.506; add_jaccard=0.125; rem_jaccard=0.286; patch_lines=7; gold_lines=21; risks=['many_numeric_literals']"
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,gpt,autocoderover,original-patched-short-known-location-editregion,main,gpt_autocoderover_main_autocoderover_openai_gpt4o_acrpatch_short_10000_first10_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/gpt__autocoderover__main__original-patched-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,many_numeric_literals,torch/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.000,0.204,0.500,0.645,6,21,6.458,1277,1145,132,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.204; rem_seq=0.645; add_jaccard=0.000; rem_jaccard=0.500; patch_lines=6; gold_lines=21; risks=['many_numeric_literals']"
multi,pytorch_multi_full_0003___init___fc33bbf8279a,fc33bbf8279aee09befb7e99b847099db1164e57,8fdd8125b6cd935d689745202cd98aca1ccd74dd,Type,gpt,swe,tool-call-short-known-location-editregion,main,gpt_swe_main_swe_openai_gpt4o_toolcall_short_10000_first10_editregion,torch/__init__.py;torch/_refs/__init__.py,def:_infer_scalar_type;def:set_default_dtype,test/test_complex.py::test_to_list,data/multi_func_160/patches/pytorch_multi_full_0003___init___fc33bbf8279a/gpt__swe__main__tool-call-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_refs/__init__.py,torch/__init__.py;torch/_refs/__init__.py,0.000,0.025,0.000,0.012,4,21,6.819,1226,1130,96,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_refs/__init__.py']; gold_files=['torch/__init__.py', 'torch/_refs/__init__.py']; add_seq=0.025; rem_seq=0.012; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=4; gold_lines=21; risks=[]"
multi,pytorch_multi_full_0003_pgo_114a0bc3068f,114a0bc3068fe67e11561c0ee57416dfa31349d5,af682f3cd7126cfb126b3279ea1dbfaf760d97bc,Type,deepseek,swe,tool-call-short-known-location-editregion,no_patch_retry_fill,deepseek_swe_no_patch_retry_fill_swe_toolcall_short_v4pro_10000_retry_3000_nopatch_editregion,torch/_dynamo/pgo.py;torch/_dynamo/variables/builder.py,def:FrameStateSizeEntry.__post_init__;def:FrameStateSizeEntry._munge_symint;def:FrameStateSizeEntry.make_scalar;def:FrameStateSizeEntry.make_size;def:FrameStateSizeEntry.make_tensor;def:_automatic_dynamic,test/dynamo/test_pgo.py::test_distinct_compile_id;test/dynamo/test_pgo.py::test_njt,data/multi_func_160/patches/pytorch_multi_full_0003_pgo_114a0bc3068f/deepseek__swe__no_patch_retry_fill__tool-call-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,many_numeric_literals,torch/_dynamo/pgo.py,torch/_dynamo/pgo.py;torch/_dynamo/variables/builder.py,0.091,0.130,0.167,0.355,16,32,13.633,7642,1724,5918,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_dynamo/pgo.py']; gold_files=['torch/_dynamo/pgo.py', 'torch/_dynamo/variables/builder.py']; add_seq=0.130; rem_seq=0.355; add_jaccard=0.091; rem_jaccard=0.167; patch_lines=16; gold_lines=32; risks=['many_numeric_literals']"
multi,pytorch_multi_full_0004_pgo_114a0bc3068f,114a0bc3068fe67e11561c0ee57416dfa31349d5,af682f3cd7126cfb126b3279ea1dbfaf760d97bc,Type,deepseek,autocoderover,original-patched-short-known-location-editregion,no_patch_retry_fill,deepseek_autocoderover_no_patch_retry_fill_autocoderover_acrpatch_short_v4pro_10000_retry_3000_nopatch_editregion,torch/_dynamo/pgo.py;torch/_dynamo/variables/builder.py,def:FrameStateSizeEntry.__post_init__;def:FrameStateSizeEntry._munge_symint;def:FrameStateSizeEntry.make_scalar;def:FrameStateSizeEntry.make_size;def:FrameStateSizeEntry.make_tensor;def:_automatic_dynamic,test/dynamo/test_pgo.py::test_distinct_compile_id;test/dynamo/test_pgo.py::test_njt,data/multi_func_160/patches/pytorch_multi_full_0004_pgo_114a0bc3068f/deepseek__autocoderover__no_patch_retry_fill__original-patched-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_dynamo/pgo.py,torch/_dynamo/pgo.py;torch/_dynamo/variables/builder.py,0.000,0.024,0.000,0.116,4,32,10.068,8320,1733,6587,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_dynamo/pgo.py']; gold_files=['torch/_dynamo/pgo.py', 'torch/_dynamo/variables/builder.py']; add_seq=0.024; rem_seq=0.116; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=4; gold_lines=32; risks=[]"
multi,pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f,7bb89bcaa44fb5513c7810d039d0b4dc45346574,4259e5d0e07203122f76009c3d81afd42f0e89ed,Logic,gpt,agentless,search-replace-known-location-editregion,main,gpt_agentless_main_agentless_openai_gpt4o_searchreplace_10000_first10_editregion,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,def:_export;def:_export_non_strict;def:_reparametrize_module;def:make_fake_params_buffers,test/export/test_export.py::test_layer_sharing;test/export/test_export.py::test_non_persistent_buffer,data/multi_func_160/patches/pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f/gpt__agentless__main__search-replace-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/nn/utils/stateless.py,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,0.000,0.025,0.000,0.006,4,28,10.972,2194,2100,94,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/nn/utils/stateless.py']; gold_files=['torch/_export/non_strict_utils.py', 'torch/export/_trace.py', 'torch/nn/utils/stateless.py']; add_seq=0.025; rem_seq=0.006; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=4; gold_lines=28; risks=[]"
multi,pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f,7bb89bcaa44fb5513c7810d039d0b4dc45346574,4259e5d0e07203122f76009c3d81afd42f0e89ed,Logic,gpt,aider,search-replace-short-known-location-editregion,main,gpt_aider_main_aider_openai_gpt4o_searchreplace_short_10000_first10_editregion,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,def:_export;def:_export_non_strict;def:_reparametrize_module;def:make_fake_params_buffers,test/export/test_export.py::test_layer_sharing;test/export/test_export.py::test_non_persistent_buffer,data/multi_func_160/patches/pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f/gpt__aider__main__search-replace-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/nn/utils/stateless.py,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,0.000,0.025,0.000,0.006,4,28,8.063,2117,2023,94,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/nn/utils/stateless.py']; gold_files=['torch/_export/non_strict_utils.py', 'torch/export/_trace.py', 'torch/nn/utils/stateless.py']; add_seq=0.025; rem_seq=0.006; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=4; gold_lines=28; risks=[]"
